Store,Coords,City,State
653378,"[-74.09767362606888, 41.15859877974729]",New York,New York
653039,"[-73.8694884561772, 40.653281354272615]",New York,New York
827594,"[-74.02434291557839, 41.091386180296965]",New York,New York
652850,"[-73.93354684398099, 40.63198889735662]",New York,New York
1216931,"[-73.90221807106117, 40.75840018450774]",New York,New York
5903732,"[-73.69134725358244, 40.780248098595834]",New York,New York
1200400,"[-73.81738558711328, 40.882256722714004]",New York,New York
2502084,"[-73.33756601652513, 40.840091423297295]",New York,New York
19260,"[-73.55398006555771, 40.710593705510355]",New York,New York
60,"[-73.73368111126943, 40.663525656139775]",New York,New York
19174,"[-73.72834264739029, 40.76607301235087]",New York,New York
1093627,"[-73.49734238509588, 40.887128137174436]",New York,New York
22534,"[-73.76165881902861, 40.84204268127568]",New York,New York
17815,"[-74.1209315454751, 41.112768527668806]",New York,New York
20959,"[-73.36423949246314, 40.881875759903025]",New York,New York
16063,"[-73.9810911692258, 40.639247723359894]",New York,New York
23849,"[-73.74991997136354, 40.6810185949325]",New York,New York
932176,"[-73.9657653829649, 41.18557729683577]",New York,New York
653124,"[-73.89802738880826, 40.78068623628831]",New York,New York
20990,"[-74.09714278409236, 41.31469527132443]",New York,New York
928089,"[-73.654026016439, 40.68696071116324]",New York,New York
26201,"[-74.08429944361848, 41.35806851299378]",New York,New York
20577,"[-73.48840173726215, 40.60284859608361]",New York,New York
20983,"[-74.00996814168765, 40.716410165843186]",New York,New York
19215,"[-73.97099920595406, 40.70824395363613]",New York,New York
17851,"[-73.85327622070628, 40.59318040363626]",New York,New York
20626,"[-73.84016275949705, 40.94238503655271]",New York,New York
22471,"[-73.80121175364421, 40.912233822949574]",New York,New York
21115,"[-74.04170348406791, 41.104483218573534]",New York,New York
688157,"[-73.9115455440317, 41.04270907836094]",New York,New York
27964,"[-73.70786158056968, 40.88748498605179]",New York,New York
48213,"[-73.79297954920268, 40.95869877621609]",New York,New York
20591,"[-73.83325818942326, 40.5974993389858]",New York,New York
1188056,"[-73.98971013392632, 40.67712289816471]",New York,New York
22462,"[-73.81194416219532, 40.98269800482422]",New York,New York
886620,"[-74.05409550881012, 41.17017790662381]",New York,New York
45228,"[-73.66062751664295, 40.98848152478455]",New York,New York
22533,"[-73.77148730749045, 41.30598834924511]",New York,New York
