ST_PC_CODE,ST_NAME,ST_CODE,PC_NAME,PC_CODE,CANDIDATE_NAME,ST_PC_CODE_NAME,CANDIDATE_SEX,CANDIDATE_CATEGORY,CANDIDATE_AGE,PARTY_ABB,TOTAL_VOTES_POLLED,POSITION,PARTY_NAME,MARGIN
28_5,ANDHRA PRADESH,28,ZAHIRABAD,5,B.B. PATIL,28_5_B.B. PATIL,M,GEN,58.0,TRS,508661,1,Telangana Rashtra Samithi,144631
28_5,ANDHRA PRADESH,28,ZAHIRABAD,5,SURESH KUMAR SHETKAR,28_5_SURESH KUMAR SHETKAR,M,GEN,53.0,INC,364030,2,Indian National Congress,0
28_5,ANDHRA PRADESH,28,ZAHIRABAD,5,K.MADAN MOHAN RAO,28_5_K.MADAN MOHAN RAO,M,GEN,44.0,TDP,157497,3,Telugu Desam,0
28_5,ANDHRA PRADESH,28,ZAHIRABAD,5,MARRI DURGESH,28_5_MARRI DURGESH,M,SC,30.0,RPI(A),18027,4,Republican Party of India (A),0
28_5,ANDHRA PRADESH,28,ZAHIRABAD,5,MAHMOOD MOHIUDDIN,28_5_MAHMOOD MOHIUDDIN,M,GEN,44.0,YSRCP,12383,5,Yuvajana Sramika Rythu Congress Party,0
28_5,ANDHRA PRADESH,28,ZAHIRABAD,5,None of the Above,28_5_None of the Above,0,0,0.0,NOTA,11190,6,None of the Above,0
28_5,ANDHRA PRADESH,28,ZAHIRABAD,5,SYED FEROZUDDIN,28_5_SYED FEROZUDDIN,M,GEN,46.0,BSP,8180,7,Bahujan Samaj Party,0
28_5,ANDHRA PRADESH,28,ZAHIRABAD,5,BENJAMIN RAJU,28_5_BENJAMIN RAJU,M,GEN,43.0,IND,4804,8,Independent,0
28_5,ANDHRA PRADESH,28,ZAHIRABAD,5,RAMA RAO,28_5_RAMA RAO,M,GEN,45.0,IND,4426,9,Independent,0
28_5,ANDHRA PRADESH,28,ZAHIRABAD,5,DR. SUNEEL KUMAR CHOWDHARY,28_5_DR. SUNEEL KUMAR CHOWDHARY,M,GEN,53.0,AAAP,3285,10,Aam Aadmi Party,0
28_5,ANDHRA PRADESH,28,ZAHIRABAD,5,TANDALE AMBAJI RAO,28_5_TANDALE AMBAJI RAO,M,GEN,45.0,IND,2323,11,Independent,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,GAWALI BHAVANA PUNDLIKRAO,27_14_GAWALI BHAVANA PUNDLIKRAO,F,GEN,41.0,SHS,477905,1,Shivsena,93816
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,ADV.SHIVAJIRAO SHIVARAMJI MOGHE,27_14_ADV.SHIVAJIRAO SHIVARAMJI MOGHE,M,ST,69.0,INC,384089,2,Indian National Congress,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,RATHOD BALIRAM PARASHRAM,27_14_RATHOD BALIRAM PARASHRAM,M,GEN,58.0,BSP,48981,3,Bahujan Samaj Party,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,RAJU OR BHARATRAJE UDDHAORAO PATIL,27_14_RAJU OR BHARATRAJE UDDHAORAO PATIL,M,GEN,38.0,MNS,26194,4,Maharashtra Navnirman sena,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,RATHOD MOHAN MALLU,27_14_RATHOD MOHAN MALLU,M,GEN,61.0,BBM,22143,5,Bharipa Bahujan Mahasangh,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,GAIKAWAD RAJENDRA VITTHAL,27_14_GAIKAWAD RAJENDRA VITTHAL,M,GEN,41.0,IND,7482,6,Independent,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,ULHAS VASRAMJI JADHAO,27_14_ULHAS VASRAMJI JADHAO,M,GEN,49.0,IND,7166,7,Independent,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,RATHOD NARESH FULSING,27_14_RATHOD NARESH FULSING,M,GEN,41.0,AAAP,6423,8,Aam Aadmi Party,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,ABRAR AHMAD MAHMUD KHAN,27_14_ABRAR AHMAD MAHMUD KHAN,M,GEN,52.0,WPOI,5672,9,Welfare Party Of India,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,None of the Above,27_14_None of the Above,0,0,0.0,NOTA,5583,10,None of the Above,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,DHOTE JAMBUWANTRAO BAPURAO,27_14_DHOTE JAMBUWANTRAO BAPURAO,M,GEN,76.0,AIFB,4708,11,All India Forward Bloc,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,RATHOD INDUWAR KASHIRAM,27_14_RATHOD INDUWAR KASHIRAM,M,GEN,42.0,BMUP,4627,12,Bahujan Mukti Party,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,SUDHAKAR NAMDEORAO GHAYAWAN,27_14_SUDHAKAR NAMDEORAO GHAYAWAN,M,SC,60.0,RPI(KH),3602,13,Republican Party of India (Khobragade),0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,NARESH MAHADEORAO GUGHANE,27_14_NARESH MAHADEORAO GUGHANE,M,GEN,40.0,IND,3422,14,Independent,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,AHMAD PARVEZ IQBAL AHMAD NUR MOHAMMAD,27_14_AHMAD PARVEZ IQBAL AHMAD NUR MOHAMMAD,M,GEN,45.0,SP,3262,15,Samajwadi Party,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,PRAKASH RAGHUNATH RAUT,27_14_PRAKASH RAGHUNATH RAUT,M,GEN,46.0,IND,2514,16,Independent,0
27_14,MAHARASHTRA,27,YAVATMAL - WASHIM,14,GURNULE RAMESH VITHOBA,27_14_GURNULE RAMESH VITHOBA,M,GEN,57.0,IND,2484,17,Independent,0
