PC_NAME,2014,2015,2016,2017
AUTONOMOUS DISTRICT,INC,INC,BJP,BJP
BARPETA,AIUDF,AIUDF,INC,INC
DHUBRI,AIUDF,AIUDF,AIUDF,AIUDF
DIBRUGARH,BJP,BJP,BJP,BJP
GUWAHATI,BJP,BJP,BJP,BJP
JORHAT,BJP,BJP,INC,INC
KALIABOR,INC,INC,INC,INC
KARIMGANJ,AIUDF,AIUDF,AIUDF,AIUDF
KOKRAJHAR,IND,IND,IND,IND
LAKHIMPUR,BJP,BJP,BJP,BJP
MANGALDOI,BJP,BJP,INC,INC
NAGAON,BJP,BJP,BJP,BJP
SILCHAR,INC,INC,BJP,BJP
TEZPUR,BJP,BJP,BJP,BJP
ARARIA,RJD,BJP,BJP,BJP
ARRAH,BJP,RJD,RJD,RJD
AURANGABAD,SHS,INC,INC,INC
BANKA,RJD,JD(U),JD(U),JD(U)
BEGUSARAI,BJP,RJD,RJD,RJD
BHAGALPUR,RJD,BJP,BJP,BJP
BUXAR,BJP,BJP,BJP,BJP
DARBHANGA,BJP,RJD,RJD,RJD
GAYA,BJP,RJD,RJD,RJD
GOPALGANJ,BJP,BJP,BJP,BJP
HAJIPUR,LJP,RJD,RJD,RJD
JAHANABAD,BLSP,RJD,RJD,RJD
JAMUI,LJP,JD(U),JD(U),JD(U)
JHANJHARPUR,BJP,BJP,BJP,BJP
KARAKAT,BLSP,RJD,RJD,RJD
KATIHAR,NCP,BJP,BJP,BJP
KHAGARIA,LJP,JD(U),JD(U),JD(U)
KISHANGANJ,INC,INC,INC,INC
MADHEPURA,RJD,JD(U),JD(U),JD(U)
MADHUBANI,BJP,BJP,BJP,BJP
MAHARAJGANJ,BJP,BJP,BJP,BJP
MUNGER,LJP,BJP,BJP,BJP
MUZAFFARPUR,BJP,BJP,BJP,BJP
NALANDA,JD(U),JD(U),JD(U),JD(U)
NAWADA,BJP,BJP,BJP,BJP
PASHCHIM CHAMPARAN,BJP,BJP,BJP,BJP
PATALIPUTRA,BJP,RJD,RJD,RJD
PATNA SAHIB,BJP,BJP,BJP,BJP
PURNIA,JD(U),BJP,BJP,BJP
PURBA CHAMPARAN,BJP,BJP,BJP,BJP
SAMASTIPUR,LJP,JD(U),JD(U),JD(U)
SARAN (CHHAPRA),BJP,RJD,RJD,RJD
SASARAM,BJP,BJP,BJP,BJP
SHEOHAR,BJP,BJP,BJP,BJP
SITAMARHI,BLSP,RJD,RJD,RJD
SIWAN,BJP,BJP,BJP,BJP
SUPAUL,INC,JD(U),JD(U),JD(U)
UJIAPUR,BJP,RJD,RJD,RJD
VAISHALI,LJP,RJD,RJD,RJD
VALMIKI NAGAR,BJP,BJP,BJP,BJP
CHANDNI CHOWK,BJP,AAAP,AAAP,AAAP
EAST DELHI,BJP,AAAP,AAAP,AAAP
NEW DELHI,BJP,AAAP,AAAP,AAAP
NORTH EAST DELHI,BJP,AAAP,AAAP,AAAP
NORTH WEST DELHI,BJP,AAAP,AAAP,AAAP
SOUTH DELHI,BJP,AAAP,AAAP,AAAP
WEST DELHI,BJP,AAAP,AAAP,AAAP
NORTH GOA,BJP,BJP,BJP,BJP
SOUTH GOA,BJP,BJP,BJP,INC
ALAPPUZHA,INC,INC,INC,INC
ALATHUR,CPM,CPM,CPM,CPM
ATTINGAL,CPM,CPM,INC,INC
CHALAKUDY,IND,IND,INC,INC
ERNAKULAM,INC,INC,INC,INC
IDUKKI,IND,IND,INC,INC
KANNUR,CPM,CPM,CPM,CPM
KASARAGOD,CPM,CPM,CPM,CPM
KOLLAM,RSP,RSP,CPI,CPI
KOTTAYAM,KEC(M),KEC(M),CPM,CPM
KOZHIKODE,INC,INC,CPM,CPM
MALAPPURAM,IUML,IUML,IUML,IUML
MAVELIKKARA,INC,INC,CPM,CPM
PALAKKAD,CPM,CPM,CPM,CPM
PATHANAMTHITTA,INC,INC,INC,INC
PONNANI,IUML,IUML,IUML,IUML
THIRUVANANTHAPURAM,INC,INC,INC,INC
THRISSUR,CPI,CPI,CPM,CPM
VADAKARA,INC,INC,CPM,CPM
WAYANAD,INC,INC,CPM,CPM
INNER MANIPUR,INC,INC,INC,INC
OUTER MANIPUR,INC,INC,INC,BJP
PUDUCHERRY,AINRC,AINRC,INC,INC
AMRITSAR,INC,INC,INC,INC
ANANDPUR SAHIB,SAD,SAD,SAD,INC
BATHINDA,SAD,SAD,SAD,AAAP
FARIDKOT,AAAP,AAAP,AAAP,INC
FATEHGARH SAHIB,AAAP,AAAP,AAAP,INC
FIROZPUR,SAD,SAD,SAD,INC
GURDASPUR,BJP,BJP,BJP,INC
HOSHIARPUR,BJP,BJP,BJP,INC
JALANDHAR,INC,INC,INC,INC
KHADOOR SAHIB,SAD,SAD,SAD,INC
LUDHIANA,INC,INC,INC,INC
PATIALA,AAAP,AAAP,AAAP,INC
SANGRUR,AAAP,AAAP,AAAP,AAAP
ARAKKONAM,ADMK,ADMK,ADMK,ADMK
ARANI,ADMK,ADMK,ADMK,ADMK
CHENNAI CENTRAL,ADMK,ADMK,DMK,DMK
CHENNAI NORTH,ADMK,ADMK,ADMK,ADMK
CHENNAI SOUTH,ADMK,ADMK,ADMK,ADMK
CHIDAMBARAM,ADMK,ADMK,ADMK,ADMK
COIMBATORE,ADMK,ADMK,ADMK,ADMK
CUDDALORE,ADMK,ADMK,DMK,DMK
DHARMAPURI,PMK,PMK,ADMK,ADMK
DINDIGUL,ADMK,ADMK,DMK,DMK
ERODE,ADMK,ADMK,ADMK,ADMK
KALLAKURICHI,ADMK,ADMK,ADMK,ADMK
KANCHEEPURAM,ADMK,ADMK,DMK,DMK
KANNIYAKUMARI,BJP,BJP,ADMK,ADMK
KARUR,ADMK,ADMK,ADMK,ADMK
KRISHNAGIRI,ADMK,ADMK,ADMK,ADMK
MADURAI,ADMK,ADMK,ADMK,ADMK
MAYILADUTHURAI,ADMK,ADMK,ADMK,ADMK
NAGAPPATTINAM,ADMK,ADMK,ADMK,ADMK
NAMAKKAL,ADMK,ADMK,ADMK,ADMK
NILGIRIS,ADMK,ADMK,ADMK,ADMK
PERAMBALUR,ADMK,ADMK,ADMK,ADMK
POLLACHI,ADMK,ADMK,ADMK,ADMK
RAMANATHAPURAM,ADMK,ADMK,ADMK,ADMK
SALEM,ADMK,ADMK,ADMK,ADMK
SHIVAGANGA,ADMK,ADMK,ADMK,ADMK
SRIPERUMBUDUR,ADMK,ADMK,ADMK,ADMK
TENKASI,ADMK,ADMK,ADMK,ADMK
THANJAVUR,ADMK,ADMK,ADMK,ADMK
THENI,ADMK,ADMK,ADMK,ADMK
TIRUVALLUR,ADMK,ADMK,ADMK,ADMK
THOOTHUKKUDI,ADMK,ADMK,ADMK,ADMK
TIRUCHIRAPPALLI,ADMK,ADMK,ADMK,ADMK
TIRUNELVELI,ADMK,ADMK,ADMK,ADMK
TIRUPPUR,ADMK,ADMK,ADMK,ADMK
TIRUVANNAMALAI,ADMK,ADMK,DMK,DMK
VELLORE,ADMK,ADMK,ADMK,ADMK
VILUPPURAM,ADMK,ADMK,ADMK,ADMK
VIRUDUNAGAR,ADMK,ADMK,ADMK,ADMK
AGRA,BJP,BJP,BJP,BJP
AKBARPUR,BJP,BJP,BJP,BJP
ALIGARH,BJP,BJP,BJP,BJP
ALLAHABAD,BJP,BJP,BJP,BJP
AMBEDKAR NAGAR,BJP,BJP,BJP,BJP
