PC_NAME,PARTY_ABB,TOTAL_VOTES_POLLED,ST_NAME,MONTH,YEAR,WINNER,MARGIN
WEST DELHI,AAAP,797177.0,NCT OF DELHI,2,2015,AAAP,366807
WEST DELHI,BJP,430370.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,INC,123910.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,INLD,54043.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,SAD,44880.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,IND,8575.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,BSP,7722.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,NOTA,6200.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,SHS,1973.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,RBHP,802.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,PBI,526.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,PMPT,512.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,GaAP,348.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,NCP,291.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,CPM,264.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,kajp,259.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,RABP,253.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,NYP,219.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,HCP,199.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,AMKP,192.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,BVLP,178.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,RJ,155.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,RKSP,94.0,NCT OF DELHI,2,2015,AAAP,0
WEST DELHI,ShRP,71.0,NCT OF DELHI,2,2015,AAAP,0
WAYANAD,CPM,320368.0,KERALA,5,2016,CPM,35174
WAYANAD,INC,285194.0,KERALA,5,2016,CPM,0
WAYANAD,IND,169165.0,KERALA,5,2016,CPM,0
WAYANAD,IUML,128364.0,KERALA,5,2016,CPM,0
WAYANAD,JD(U),59876.0,KERALA,5,2016,CPM,0
WAYANAD,BJP,44694.0,KERALA,5,2016,CPM,0
WAYANAD,BDJS,21033.0,KERALA,5,2016,CPM,0
WAYANAD,SDPI,8712.0,KERALA,5,2016,CPM,0
WAYANAD,NOTA,6784.0,KERALA,5,2016,CPM,0
WAYANAD,WPOI,6525.0,KERALA,5,2016,CPM,0
WAYANAD,BSP,2355.0,KERALA,5,2016,CPM,0
WAYANAD,PDP,1973.0,KERALA,5,2016,CPM,0
WAYANAD,SP,1776.0,KERALA,5,2016,CPM,0
WAYANAD,CPIM,1301.0,KERALA,5,2016,CPM,0
WAYANAD,SUCI,262.0,KERALA,5,2016,CPM,0
VIRUDUNAGAR,ADMK,463624.0,TAMIL NADU,5,2016,ADMK,179093
VIRUDUNAGAR,DMK,284531.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,INC,134260.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,DMDK,48095.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,BJP,30791.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,MDMK,25442.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,CPI,25092.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,IND,16222.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,NOTA,14186.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,ntk,10629.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,PMK,5571.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,AIFB,5029.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,SHS,1386.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,BSP,1219.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,MMKA,1116.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,ETMK,905.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,SMK,689.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,TMMK,650.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,LJP,339.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,UCPI,315.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,YSP,307.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,RPI,195.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,tavk,189.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,AMMK,182.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,AIJMK,159.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,JKNPP,137.0,TAMIL NADU,5,2016,ADMK,0
VIRUDUNAGAR,DMMK,121.0,TAMIL NADU,5,2016,ADMK,0
VILUPPURAM,ADMK,386964.0,TAMIL NADU,5,2016,ADMK,35738
VILUPPURAM,DMK,351226.0,TAMIL NADU,5,2016,ADMK,0
VILUPPURAM,PMK,174027.0,TAMIL NADU,5,2016,ADMK,0
VILUPPURAM,DMDK,74282.0,TAMIL NADU,5,2016,ADMK,0
VILUPPURAM,IUML,47130.0,TAMIL NADU,5,2016,ADMK,0
VILUPPURAM,VCK,23873.0,TAMIL NADU,5,2016,ADMK,0
VILUPPURAM,IND,23239.0,TAMIL NADU,5,2016,ADMK,0
VILUPPURAM,TMC(M),15045.0,TAMIL NADU,5,2016,ADMK,0
VILUPPURAM,CPM,9981.0,TAMIL NADU,5,2016,ADMK,0
VILUPPURAM,NOTA,9567.0,TAMIL NADU,5,2016,ADMK,0
VILUPPURAM,BJP,7882.0,TAMIL NADU,5,2016,ADMK,0
VILUPPURAM,ntk,4786.0,TAMIL NADU,5,2016,ADMK,0
VILUPPURAM,BSP,2770.0,TAMIL NADU,5,2016,ADMK,0
VILUPPURAM,AIPMK,716.0,TAMIL NADU,5,2016,ADMK,0
VILUPPURAM,SP,337.0,TAMIL NADU,5,2016,ADMK,0
VILUPPURAM,KMDK,310.0,TAMIL NADU,5,2016,ADMK,0
VILUPPURAM,IJK,293.0,TAMIL NADU,5,2016,ADMK,0
VILUPPURAM,CPI(ML)(L),274.0,TAMIL NADU,5,2016,ADMK,0
VILUPPURAM,GMI,265.0,TAMIL NADU,5,2016,ADMK,0
VILUPPURAM,VTIP,126.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,ADMK,449415.0,TAMIL NADU,5,2016,ADMK,135008
VELLORE,DMK,314407.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,PMK,64373.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,IUML,55062.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,MAMAK,51176.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,TMC(M),23723.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,BJP,16867.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,NOTA,11274.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,DMDK,11213.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,AIMIM,10117.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,IND,9358.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,SuNP,7640.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,ntk,5223.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,BSP,3480.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,CPI,3140.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,VCK,2590.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,WPOI,1104.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,SDPI,1100.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,PPIS,1069.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,VBMP,952.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,IJK,891.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,SP,575.0,TAMIL NADU,5,2016,ADMK,0
VELLORE,APNP,428.0,TAMIL NADU,5,2016,ADMK,0
