PC_NAME,PARTYABBRE,TOTALVALIDVOTESPOLLED,MONTH,YEAR,WINNER
ADILABAD,AAAP,485.0,5,2014,TRS
ADILABAD,BCUF,923.0,5,2014,TRS
ADILABAD,BJP,92479.0,5,2014,TRS
ADILABAD,BMUP,870.0,5,2014,TRS
ADILABAD,BSP,119807.0,5,2014,TRS
ADILABAD,CPM,1120.0,5,2014,TRS
ADILABAD,GGP,1314.0,5,2014,TRS
ADILABAD,INC,261529.0,5,2014,TRS
ADILABAD,IND,27859.0,5,2014,TRS
ADILABAD,IUML,283.0,5,2014,TRS
ADILABAD,MaSP,15288.0,5,2014,TRS
ADILABAD,NOTA,13283.0,5,2014,TRS
ADILABAD,RLD,2038.0,5,2014,TRS
ADILABAD,SHS,1513.0,5,2014,TRS
ADILABAD,TDP,113514.0,5,2014,TRS
ADILABAD,TRS,384718.0,5,2014,TRS
ADILABAD,WPOI,297.0,5,2014,TRS
ADILABAD,YSRCP,3488.0,5,2014,TRS
AGRA,ADRSP,113.0,3,2017,BJP
AGRA,AIMIM,232.0,3,2017,BJP
AGRA,APoI,763.0,3,2017,BJP
AGRA,BJP,579063.0,3,2017,BJP
AGRA,BKS,244.0,3,2017,BJP
AGRA,BLSP,377.0,3,2017,BJP
AGRA,BMUP,149.0,3,2017,BJP
AGRA,BRKD,154.0,3,2017,BJP
AGRA,BSCP,177.0,3,2017,BJP
AGRA,BSP,299253.0,3,2017,BJP
AGRA,BaSaPa,603.0,3,2017,BJP
AGRA,INC,39434.0,3,2017,BJP
AGRA,IND,19958.0,3,2017,BJP
AGRA,JAM,1027.0,3,2017,BJP
AGRA,MAHISAP,559.0,3,2017,BJP
AGRA,NINSHAD,2213.0,3,2017,BJP
AGRA,NOTA,6264.0,3,2017,BJP
AGRA,PECP,1331.0,3,2017,BJP
AGRA,RKSP,1204.0,3,2017,BJP
AGRA,RLD,5855.0,3,2017,BJP
AGRA,RPIE,202.0,3,2017,BJP
AGRA,RSMD,361.0,3,2017,BJP
AGRA,RSOSP,290.0,3,2017,BJP
AGRA,RTKP,2375.0,3,2017,BJP
AGRA,SP,207041.0,3,2017,BJP
AGRA,VIP,410.0,3,2017,BJP
