PC_NAME,PARTY_ABB,VOTES_POLLED,POSITION
ALIPURDUARS,CPM_INC,457774,1
ALIPURDUARS,AITC,362453,2
ALIPURDUARS,BJP,335857,3
ALIPURDUARS,NOTA,19885,4
ALIPURDUARS,IND,18126,5
ALIPURDUARS,BSP,11039,6
ALIPURDUARS,SUCI,7131,7
ALIPURDUARS,RaJSP,5961,8
ALIPURDUARS,SWJP,5340,9
ARAMBAG,AITC,748764,1
ARAMBAG,CPM_INC,429791,2
ARAMBAG,BJP,158480,3
ARAMBAG,NOTA,17837,4
ARAMBAG,JDP,7062,5
ASANSOL,BJP,419983,1
ASANSOL,AITC,349503,2
ASANSOL,CPM_INC,304331,3
ASANSOL,IND,29506,4
ASANSOL,NOTA,11479,5
ASANSOL,JMM,5728,6
ASANSOL,IUML,4947,7
ASANSOL,BSP,4663,8
ASANSOL,BMUP,4256,9
ASANSOL,SUCI,3115,10
ASANSOL,GaAP,2450,11
ASANSOL,JDP,2434,12
BAHARAMPUR,CPM_INC,809248,1
BAHARAMPUR,AITC,226982,2
BAHARAMPUR,BJP,81656,3
BAHARAMPUR,SDPI,11642,4
BAHARAMPUR,NOTA,11192,5
BAHARAMPUR,JeSM,4869,6
BAHARAMPUR,BSP,4676,7
BAHARAMPUR,IUML,4322,8
BALURGHAT,AITC,409641,1
BALURGHAT,CPM_INC,383392,2
BALURGHAT,BJP,223014,3
BALURGHAT,NOTA,11691,4
BALURGHAT,AIUDF,10547,5
BALURGHAT,IND,5647,6
BALURGHAT,JDP,4774,7
BALURGHAT,BSP,4581,8
BALURGHAT,RaJSP,3969,9
BALURGHAT,SUCI,2644,10
BALURGHAT,BMUP,1687,11
BALURGHAT,CPIM,1466,12
BANGAON,AITC,551213,1
BANGAON,CPM_INC,448478,2
BANGAON,BJP,244783,3
BANGAON,NOTA,9965,4
BANGAON,BSP,9207,5
BANGAON,IND,8738,6
BANGAON,SUCI,3589,7
BANGAON,AMB,2848,8
BANGAON,PDS,2624,9
BANGAON,RAHM,1172,10
BANGAON,TRMRPPI,1071,11
BANKURA,AITC,483455,1
BANKURA,CPM_INC,406970,2
BANKURA,BJP,251183,3
BANKURA,NOTA,23682,4
BANKURA,IND,13921,5
BANKURA,JMM,10229,6
BANKURA,SUCI,9125,7
BANKURA,CPI(ML)(L),7579,8
BANKURA,BMUP,7564,9
BANKURA,BSP,7388,10
BANKURA,JHAP,6209,11
BANKURA,JDP,5909,12
BANKURA,JVM,3105,13
BARAKPUR,AITC,479206,1
BARAKPUR,CPM_INC,302924,2
BARAKPUR,BJP,230401,3
BARAKPUR,IND,11723,4
BARAKPUR,NOTA,10979,5
BARAKPUR,BSP,5458,6
BARAKPUR,CPI(ML)(L),4416,7
BARAKPUR,SUCI,2200,8
BARAKPUR,CPIM,2036,9
BARAKPUR,AAAP,1787,10
BARASAT,AITC,525387,1
BARASAT,CPM_INC,392906,2
BARASAT,BJP,296608,3
BARASAT,IND,17408,4
BARASAT,NOTA,12700,5
BARASAT,BSP,12178,6
BARASAT,WPOI,6895,7
BARASAT,SUCI,2439,8
BARASAT,BMUP,1478,9
BARASAT,CPIM,1332,10
BARDDHAMAN - DURGAPUR,AITC,554521,1
BARDDHAMAN - DURGAPUR,CPM_INC,491545,2
BARDDHAMAN - DURGAPUR,BJP,237205,3
BARDDHAMAN - DURGAPUR,NOTA,16886,4
BARDDHAMAN - DURGAPUR,BSP,11862,5
BARDDHAMAN - DURGAPUR,SUCI,7574,6
BARDDHAMAN - DURGAPUR,BMUP,6665,7
BARDDHAMAN - DURGAPUR,IND,4984,8
BARDDHAMAN PURBA,AITC,574660,1
BARDDHAMAN PURBA,CPM_INC,529065,2
BARDDHAMAN PURBA,BJP,170828,3
