BillDate,InvoiceNo,StockCode,Description,Quantity,UnitPrice,Total
1/4/17,CA1  ,2129,SS BANANA YALAKKI  ,0.04,125.00,5.00
1/4/17,CC2  ,1115,Arya Poha  ,1.00,58.00,58.00
1/4/17,CC2  ,1210,Arya SF Oil 1  ,1.00,320.00,320.00
1/4/17,CC2  ,3893,G10 ATTA 1KG  ,1.00,57.00,57.00
1/4/17,CC2  ,1333,OT Sugar  ,1.00,60.00,60.00
1/4/17,CC2  ,1344,OT Urad Dal WHITE  ,1.00,180.00,180.00
1/4/17,CC2  ,455,PPS Sambar Pwdr  ,1.00,55.00,55.00
1/4/17,CC2  ,3089,TG Ragi Flour  ,1.00,51.00,51.00
1/4/17,CC2  ,3103,TG SM Rice 5Kg  ,1.00,419.00,419.00
1/4/17,CC2  ,3112,TG Tur Dal 1Kg  ,1.00,199.00,199.00
1/4/17,CA3  ,2748,Arya Virgin Coconut Oil 250ml  ,1.00,235.00,235.00
1/4/17,CO4  ,639,24LM Mango Jam  ,1.00,160.00,160.00
1/4/17,CO4  ,2176,OT BROWN SUGAR 500G  ,2.00,70.00,140.00
1/4/17,CO4  ,3569,OT BROWN SUJI  ,1.00,49.00,49.00
1/4/17,CO4  ,3104,TG SM Rice HP 1Kg  ,2.00,85.00,170.00
1/4/17,CO4  ,3327,TO BARLEY DALIA  ,1.00,50.00,50.00
1/4/17,CO4  ,3355,TO JAGGERY POWDER  ,1.00,75.00,75.00
1/4/17,CO4  ,3326,TO PEARL BARLEY  ,1.00,65.00,65.00
1/4/17,CO4  ,3313,TO WHEAT WHOLE 5KG  ,1.00,270.00,270.00
1/4/17,CC5  ,3830,BNW DISHWASH LIQ 750ML  ,1.00,220.00,220.00
1/4/17,CC5  ,2969,DD 108 SOAPYNUT  ,1.00,200.00,200.00
1/4/17,CC5  ,2081,SS AMARANTHUS  ,2.00,25.00,50.00
1/4/17,CC5  ,3993,SS BABY POTATO  ,0.28,80.00,22.40
1/4/17,CC5  ,2120,SS COCONUT  ,1.00,27.00,27.00
1/4/17,CC5  ,2095,SS CUCUMBER GREEN  ,0.23,48.00,11.04
1/4/17,CC5  ,2115,SS DRUMSTICK  ,0.05,116.00,5.80
1/4/17,CC5  ,2119,SS LEMON  ,0.22,145.00,31.90
1/4/17,CC5  ,2078,SS MINT  ,1.00,17.00,17.00
1/4/17,CC5  ,3958,SS PINEAPPLE KG  ,0.46,85.00,39.10
1/4/17,CC5  ,2132,SS SAPOTA  ,0.60,123.00,73.19
